"is","annee_contrat","num_contrat","titre_contrat","nom_usage","responsable_due","label_odd1","label_odd2","label_odd3","label_tei","label_global_gateway","objectif_general","objectifs_specifiques","resultats","main_media","youtube","website","facebook","instagram","twitter","linkedin","press","folder","fichiers","type_contrat","nature_contrat","mecanisme_financement","instrument_financement","date_fin","date_debut","organisme","membre_consortium_1","membre_consortium_2","membre_consortium_3","membre_consortium_4","membre_consortium_5","membre_consortium_6","membre_consortium_7","membre_consortium_8","budget_ue","budget_global","co_financement","cof_1_nom","cof_1_euros","cof_2_nom","cof_2_euros","cof_3_nom","cof_3_euros","cof_4_nom","cof_4_euros","cof_5_nom","cof_5_euros","autres_contributions","num_decision","dac_code","thematique","tei","secteur","region","commune","district","reference_opsys","public","relais_com_partenaire",
"NDICI",2022,437766,"Citoyenneté active pour un processus électoral plus transparent, démocratique et égalitaire à Madagascar","PARTICIPE","GARCIA NOGUERA MARIA EUGENIA","ODD n°16 - Paix, justice et institutions efficaces",,,,,"Contribuer à la construction d'une Société malgache résiliente, inclusive et démocratique","OS 1 : La participation active citoyenne des jeunes et des femmes dans les affaires publiques et la vie politique au Madagascar est renforcée. 

OS 2 : Les capacités du système de partis politiques malgache sont renforcées pour un processus électoral plus transparent, démocratique, participative et égalitaire.
","- Les capacités de 100 jeunes politiques au niveau régional sont renforcées afin de plaider en faveur de leur inscription sur les listes des partis politiques, de la Démocratie et de la participation citoyenne aux processus électoraux

- Les capacités de 25 jeunes leaders/multiplicateurs au niveau national sont renforcées en ce qui concerne la compréhension des processus électoraux démocratiques, les processus de prise de décision et la participation citoyenne

- 5 conférences de presse, 5 campagnes de sensibilisation et 1 campagne de communication sont organisées pour informer le public sur le processus électoral et la politique à Madagascar

- 5 débats publics démocratiques (1 par région) invitant au pluralisme d’idées et en collaboration avec les universités régionales sont organisés

- 2 études sont publiées dans un rapport, comprenant également des stratégies et des propositions visant à encourager les réformes législatives et les décisions politiques

- Au moins 250 représentants de 10 partis politiques sont formés aux questions clés des processus démocratiques et entrent dans 3 dialogues multipartites sur les processus électoraux démocratiques et équitables

- 2 réunions stratégiques de mise en réseau (pré et post-électorales) avec et entre au moins 10 OSC sont organisées pour renforcer l’impact des actions des OSC en tant qu'organes de supervision pendant les élections.","https://madagascar.fes.de/fileadmin/user_upload/A4-charte_de_bonne_conduite_des_partis-2_Vfinale_060623.pdf","https://www.youtube.com/watch?v=RkPWSXF3A9Y",,,,,,"https://lexpress.mg/14/03/2023/lancement-du-projet-participe/","437766","../../../../../:f:/g/personal/y_karroum_arkoconsulting_org/Ej1I2nOyK2FEiuIKQFPZPq0ByapGYm3nyeVlDHZZfhUSeg?e=cvOJGo","Madagascar","Subvention","Subvention pour action",,2024-05-31,2022-01-12,"Friedrich-Ebert-Stiftung",,,,,,,,,300000,400388.92,,"Friedrich-Ebert-Stiftung",100388.92,,,,,,,,,,"043-110",,"Démocratie et Droits Humains",,"ELECTIONS","Analamanga,Atsimo-Andrefana,Atsinanana,Boeny,Haute Matsiatra,",,"Antananarivo I;Antananarivo II;Antananarivo III;Antananarivo IV;Antananarivo V;Antananarivo VI;Antananarivo Atsimondrano;Antananarivo Avaradrano;Ambohidratrimo;Ankazobe;Anjozorobe;Andramasina;Manjakandriana;Ambalavao;Ambohimahasoa;Ikalamavony;Fianarantsoa I;Vohibato;Isandra;Toliary I;Toliary II;Lalangina;Mahajanga I;Mahajanga II;Ambato Boeny;Marovoay;Mitsinjo;Soalala;Toamasina I;Toamasina II;Antanambao Manampotsy;Brickaville;Mahanoro;Marolambo;Vatomandry;Ampanihy;Ankazoabo;Morombe;Sakaraha;Betioky;Beroroha;Benenitra;","PC17577","Oui","M. Yves GUICQUERO / Directeur / guicqueroy@afd.fr
RABARIVELO Tiana-Murielle rabarivelotm@afd.fr
",
,,436311,"Agir Contre le Travail des Enfants","ACTE","GARCIA NOGUERA MARIA EUGENIA","ODD n°8 - Travail décent et croissance économique",,,"Investir dans la Jeunesse",,"Contribuer à la réduction du travail des enfants ciblant ses pires formes conformément aux Objectifs de Développement Durables d'ici 2025 ","1. Participation/renforcement des capacités

2. Inclusion des Pires Formes de Travail des Enfants dans les autres réponses/formulation des alternatives

3. Plaidoyer
","1. Les capacités de protection et d'action des enfants, des familles et des communautés ciblées tout comme la connaissance de leurs droits sont accrues, avec une attention particulière sur les possibles alternatives socio-économiques aux pires formes de travail des enfants.

2. Les capacités des mécanismes et des systèmes locaux et nationaux sont renforcées pour assurer la prise en charge des filles/ garçons ciblés et la mise à place d’alternatives aux pires formes de travail des enfants.

3. Les actions entreprises par les acteurs étatiques et non étatiques en faveur de la prévention et de la réduction des pires formes de travail des enfants sont soutenues dans chaque pays pour une meilleure coordination, efficacité, visibilité et transparence.

",,,"https://www.terredeshommes.nl/en/projects/elimination-of-child-labour-in-madagascar-s-mica-sector",,,,,,,,,,"Subvention pour action",,2025-12-31,2023-01-01,"Terre des Hommes Nederland","Save The Children International",,,,,,,,993024.46,1045532.48,,"Terre des Hommes Nederland",30645.02,"Save The Children International",21863,,,,,,,,,,"Démocratie et Droits Humains",,,"Analamanga,Anôsy,",,"Taolagnaro;Antananarivo I;",,"Oui","RAZAFINDRAHONA Lydia razafindrahonal@afd.fr",
"FED",2018,398638,"Fonds commun d'appui à la Société Civile","FANAINGA","GRAUX LAETITIA","ODD n°17 - Partenariats pour la réalisation des objectifs","ODD n°10 - Inégalités réduites","ODD n°5 - Égalité entre les sexes","Investir dans la Jeunesse",,"Consolider la gouvernance démocratique et la culture citoyenne à Madagascar","1. Renforcer les capacités des acteurs et organisations de la Société civile malgache d’un point de vue institutionnel et opérationnel pour qu'ils soient plus légitimes et structurés

2. Améliorer l'action, la participation et la voix de la Société civile en tant qu’acteur de gouvernance en faveur de la consolidation de l’Etat de droit, de la culture de la redevabilité, du développement inclusif durable et de l’égalité des sexes","316 organisations de la Société civile locale ont été accompagnées entre 2019 et 2022

222 initiatives ont été financées pour un montant total de près de 18 milliards d'ariary
",,"https://www.youtube.com/watch?v=mkKtm-HRdZs","https://fanainga.mg/","https://www.facebook.com/fanaingaplus/",,"twitter.com/fanainga",,"https://www.eeas.europa.eu/delegations/madagascar/fanainga-fonds-commun-d%E2%80%99appui-la-societe-civile-malgache_fr",398638,"../../../../../:f:/g/personal/y_karroum_arkoconsulting_org/Ej8tGb9QukJGhOo2IHcVWJgBEPdVAEow90SR4tudOOWHFw?e=7ahRW3","Madagascar","Mise en oeuvre","Convention de contribution",,2022-12-31,2018-06-01,"GIZ - Deutsche Gesellschaft für Internationale Zusammenarbeit (GmbH)",,,,,,,,,6920000,9570000,"Cofinancement GIZ: 
Montant:1.900.000 EUR","BMZ - Ministère fédéral Allemand de la Coopération économique et du Développement",1900000,"Gouvernement Princier-Principauté de Monaco",550000,"Ambassade de France à Madagascar",200000,,,,,"Cofinancement GIZ: 
Montant:1.900.000 EUR 

Autres Bailleurs: 
Gouvernement princier de Monaco
Montant:550.000 EUR
Ambassade de France à Madagascar
Montant: 200.000 EUR",39596,15150,"Appui à la Société civile et à la Jeunesse",,"Participation démocratique et société civile","Analamanga,Analanjirofo,Atsimo-Andrefana,Diana,Haute Matsiatra,Vakinankaratra,Anôsy,",,"Antananarivo I;Antananarivo II;Antananarivo III;Antananarivo IV;Antananarivo V;Antananarivo VI;Antananarivo Atsimondrano;Antananarivo Avaradrano;Ambohidratrimo;Anjozorobe;Antsirabe I;Antsirabe II;Antsiranana I;Antsiranana II;Ambilobe;Fénérive Est;Vavatenina;Fianarantsoa I;Toliary I;Toliary II;Taolagnaro;Amboasary;Manjakandriana;Andramasina;Ambatolampy;Betafo;Soanierana Ivongo;Ambanja;Vohibato;Lalangina;Isandra;Sakaraha;","PCC-398638","Oui","M. Michel JAHIEL, Coordonnateur du Projet - ctht@moov.mg ",
"OSC-AL",2018,403423,"Renforcement durable et inclusif des services éducatifs publics pour les familles vulnérables d'Antananarivo à travers l'implication de la communauté éducative et des autorités locales",,"GRAUX LAETITIA","ODD n°4 - Éducation de qualité","ODD n°5 - Égalité entre les sexes",,"Investir dans la Jeunesse","Éducation et recherche","Favoriser l’accès des enfants malgaches les plus vulnérables à une éducation publique de qualité","Améliorer l’accès et la qualité de l'enseignement au sein des écoles primaires publiques des bas quartiers de la ville d’Antananarivo et ses environs en impliquant les familles, la Société civile et les acteurs institutionnels","1. Les conditions d’accueil et d’enseignement sont améliorées dans les écoles primaires publiques des bas quartiers partenaires du projet. 

2. Les familles vulnérables, la Société civile et les acteurs institutionnels sont sensibilisés à l’importance de l’Education pour le développement holistique de l’enfant.
",,"https://www.youtube.com/watch?v=ypTAgZzs8_4",,,,,,"https://www.education.gov.mg/colloque-sur-leducation-primaire-lacces-a-lecole-des-enfants-issus-des-familles-vulnerables-sollicite/",,,"Autre","Non communiqué (nc)","Autre",,2022-12-31,2019-01-01,"KOZAMA - Association Kolo Zaza Malagasy","ATIA",,,,,,,,350000,466119,,"Direction de la Coopération Internationale de Monaco (DCI) - Gouvernement Princier-Principauté de Monaco",42534,"ATIA",66136,"ASMAE - Association Soeur Emmanuelle",4788,"KOZAMA - Association Kolo Zaza Malagasy",2661,,,,,,"Développement humain intégré",,,"Analamanga,",,"Antananarivo Atsimondrano;Antananarivo Avaradrano;Antananarivo I;Antananarivo II;Antananarivo III;Antananarivo IV;Antananarivo V;Antananarivo VI;",,"Oui","Mme Claire KABORE, Représentante à Madagascar - kabore@gret.org ",
"FED",2020,410678,"Assistance technique pour améliorer le partenariat stratégique entre l'Union européenne et la Société civile à Madagascar et accompagner l'autonomisation de la Société civile malgache",,"GRAUX LAETITIA","ODD n°17 - Partenariats pour la réalisation des objectifs","ODD n°5 - Égalité entre les sexes",,"Investir dans la Jeunesse",,"Renforcer la Société civile, en particulier dans le
secteur de la gouvernance, en tant qu'acteur de développement","Améliorer l'efficacité du partenariat stratégique de la Délégation de l'Union européenne avec les organisations de la Société civile à Madagascar","1. Le dialogue stratégique, la participation et le rôle des OSC et des organisations professionnelles dans la gouvernance nationale et locale sont améliorés et renforcés dans le cadre des actions de l'UE vers la société́ civile à Madagascar.

2. Le Comité de Pilotage du Fonds Commun multi-bailleurs d'appui à la Société civile malgache est appuyé dans sa consolidation et dans ses orientations stratégiques.

3. La prise en compte de l'égalité de genre et de l'empowerment des femmes est amélioré.",,,,,,,,,"404316","../../../../../:f:/g/personal/y_karroum_arkoconsulting_org/ErxuwCOO7IZIttN_S8e3PnsByhgoxFY-M1iR7ooU4Zr-uw?e=PeKH2P","Madagascar","Contrat spécifique (contrat-cadre)","Services",,2023-09-08,2020-10-19,"Ecorys Nederland BV","SOFRECO - Société Française de Réalisation d'Etudes et de Conseils SA",,,,,,,,928712,928712,"NA",,,,,,,,,,,,39596,15150,"Appui à la Société civile et à la Jeunesse",,"Participation démocratique et société civile","Analamanga, Diana, Analanjirofo, Vakinankaratra, Haute Matsiatra, Atsimo Andrefana, Anôsy",,,"PCC-410678","Non","M. Olivier LE GUILLOU, Directeur Pays - dp@mg-actioncontrelafaim.org",
"FED",2022,436012,"Développement de la plateforme digitale des actions extérieures de l’Union européenne à Madagascar",,"GRAUX LAETITIA","ODD n°17 - Partenariats pour la réalisation des objectifs",,,,"Secteur numérique","Contribuer à une
meilleure connaissance et appréciation des programmes de coopération de l’Union européenne à
Madagascar","Appuyer la Délégation de l’Union européenne à Madagascar à se doter d’un outil digital performant de gestion et de visualisation géo-localisé de l'information relative à ses investissements, et en particulier à leurs objectifs, leurs résultats et leur impact.","Plateforme digitale développée et mise en ligne",,,,,,,,,"432532","../../../../../:f:/g/personal/y_karroum_arkoconsulting_org/Ehg1_tXbtz9FlMjUx5U1rw0B9gM5TqbsyHfWYUSBGChBrA?e=lLM2BV","Madagascar","Mise en œuvre","Services",,2025-09-22,2022-09-23,"Arko consulting",,,,,,,,,89830,89830,,,,,,,,,,,,,39818,99820,"Société de la connaissance et de l’information",,"Sensibilisation au développement (non alloués par secteur)","Madagascar",,,"PCC-436012","Non","M. Fanilo Herizo ANDRIAMALALA, Responsable du Programme AFAFI-Nord auprès du BACE - faniloherizo@gmail.com  ",
,,"ERA001","Formation continue des enseignants et renforcement de capacités des formateurs d'enseignants à Madagascar","PERFORM","GRAUX LAETITIA","ODD n°4 - Éducation de qualité",,,"Investir dans la Jeunesse","Éducation et recherche","Améliorer la qualité de l’éducation et de l’apprentissage des élèves du post-fondamental, en contribuant à la formation continue des enseignants du post-fondamental à Madagascar","1. Renforcer les capacités pédagogiques des formateurs des Ecoles Normales Supérieures malgaches en les impliquant dans la mise en place d’un dispositif hybride de formation continue en faveur des enseignants du post-fondamental

2. Assurer la professionnalisation du corps enseignant du post-fondamental à travers le dispositif hybride de formation créé","185 formateurs des Ecoles Normales Supérieures formés

1.000 enseignants du post fondamental (en mathématiques, physique-chimie, français et informatique) formés en didactique, en Sciences de l’éducation et en langue française ",,"https://youtu.be/Pz-Ov5BHPcg","http://www.perform.mg/","https://www.facebook.com/perform.auf",,,,,"ERA001","../../../../../../:f:/g/personal/y_karroum_arkoconsulting_org/EgxlrN2sPDBEinKinoDK8A8BgRPkevlAwUGJx8H_OIwLsQ?e=9eMfCG","Autre","Non communiqué (nc)",,,2023-07-14,2019-01-15,"Agence Universitaire de la Francophonie","Université d'Antananarivo","Université d'Antsiranana","Université de Fianarantsoa","Université de Toliara","Ministère de l'Enseignement technique et de la Formation professionnelle","Ministère de l'Education Nationale","Ministère de l'Enseignement supérieur et de la Recherche scientifique","Orange Madagascar",764902,1033624,268722,"Agence Universitaire de la Francophonie",268722,,,,,,,,,,,,"Société de la connaissance et de l’information",,,"Alaotra-Mangoro,Amoron'i Mania,Analamanga,Anôsy,Atsimo-Andrefana,Diana,Haute Matsiatra,Ihorombe,Itasy,Sava,Vakinankaratra,Vatovavy,Fitovinany,",,"Antananarivo I;Antananarivo II;Antananarivo III;Antananarivo IV;Antananarivo V;Antananarivo VI;Antananarivo Atsimondrano;Antananarivo Avaradrano;Ambohidratrimo;Ankazobe;Anjozorobe;Andramasina;Manjakandriana;Tsiroanomandidy;Miarinarivo;Arivonimamo;Soavinandriana;Antsirabe I;Antsirabe II;Ambatolampy;Antanifotsy;Betafo;Faratsiho;Mandoto;Ambatondrazaka;Amparafaravola;Moramanga;Antsiranana I;Antsiranana II;Ambanja;Ambilobe;Sambava;Antalaha;Vohemar;Andapa;Fianarantsoa I;Vohibato;Lalangina;Isandra;Ambalavao;Ambohimahasoa;Ikalamavony;Ambositra;Fandriana;Ambatofinandrahana;Manandriana;Manakara;Mananjary;Ifanadiana;Ikongo;Nosy Varika;Vohipeno;Farafangana;Ihosy;Iakora;Toliary I;Toliary II;Taolagnaro;Amboasary;Bekily;Sakaraha;Morombe;Ankazoabo;Betioky;Beroroha;Ampanihy;Benenitra;Ambovombe Androy;Préfecture de Nosy Be / Chef lieu : Hell-Ville;",,"Oui","Marie-Catherine MABRUT, Directrice Pays - MarieCatherine.Mabrut@welthungerhilfe.de",
,,"ERA002","Formation et Enseignement Supérieur pour la Transition énergétique dans les territoires Insulaires et en Indianocéanie","FESTII","GRAUX LAETITIA","ODD n°4 - Éducation de qualité","ODD n°7 - Énergie propre et d'un coût abordable",,"Energie Renouvelable et Durable","Climat et énergie","Permettre aux Etablissements d’enseignement supérieur de contribuer à la transition et à l’autonomie énergétiques de leur territoire par le renforcement de compétences des ressources humaines dans le domaine des Energies renouvelables et Efficacité Energétique","1. Institutionnel: Opérationnalisation d’ un réseau d’établissements d’enseignement supérieur pour le développement des énergies renouvelables et de l’efficacité énergétique en milieu insulaire

2. Académique: Renforcement et développement de l’offre de formations : formations initiales et  catalogue régional de formations continues
                                      
3. Sociétal: Ancrage des acquis du dispositif pédagogique dans le tissu économique et social de l’Océan Indien","1 réseau universitaire pour les énergies renouvelables et efficacité énergétique
1 catalogue régional de formation continue
1 dispositif d’accompagnement à l’entrepreneuriat
5 établissements d’Enseignement supérieur bénéficiant d’un renforcement de capacités (pédagogiques et techniques)
10 programmes de formations initiales actualisés et renforcés dans la région Océan indien",,,"https://www.festii.org/","https://www.facebook.com/projet.festii",,,,,"ERA002","../../../../../../:f:/g/personal/y_karroum_arkoconsulting_org/EvQf-hKAn-ZBkiQjQEbBsZ8BPQJWNSxM7ryqsHgXaWPiBA?e=NhPdNh","Autre","Non communiqué (nc)",,,2024-01-14,2020-01-15,"Agence Universitaire de la Francophonie","Commission de l’Océan indien","Institut Supérieur de Technologie d'Antanarivo","Institut Supérieur de Technologie d’Antsiranana",,,,,,310000,380000,207021,"Agence Universitaire de la Francophonie",70000,,,,,,,,,,,,"Société de la connaissance et de l’information",,,"Alaotra-Mangoro,Amoron'i Mania,Analamanga,Anôsy,Atsimo-Andrefana,Diana,Haute Matsiatra,Ihorombe,Itasy,Sava,Vakinankaratra,Vatovavy,Fitovinany,",,"Antananarivo I;Antananarivo II;Antananarivo III;Antananarivo IV;Antananarivo V;Antananarivo VI;Antananarivo Atsimondrano;Antananarivo Avaradrano;Ambohidratrimo;Antsiranana I;Antsiranana II;",,"Oui","mailto:sariaka@c-for-c.info","Attention l'adresse du relais com ne correspond pas à une adresse du partenaire de mise en œuvre (WHH)"
"FED",2020,418430,"Assistance technique à la mise en oeuvre du Programme AFAFI Centre","AT AFAFI-Centre","LEONE ALESSANDRO","ODD n°2 - Faim « Zéro »",,,,," Appuyer le Bureau d'Appui à la Coopération extérieure (BACE) et en particulier l'Unité de Coordination et de Suivi (UCS) dans la mise en œuvre du Programme AFAFI-Centre afin d’atteindre les objectifs et résultats qui lui sont dévolus.","Apporter une expertise permanente en matière de pilotage, de gestion administrative, financière et opérationnelle du programme, de suivi-évaluation, d’amélioration continue ainsi qu’un appui technique et méthodologique sur l’ensemble des activités. ","R1: Une assistance Technique, conforme aux standards d'efficacité et d'intégrité de la profession, est fournie à l'UCS pour l'appuyer dans ses fonctions de pilotage et de suivi-évaluation du programme AFAFI-Centre, dans la coordination des actions menées sur le terrain (au niveau des régions cibles, avec les différents opérateurs du Programme et les autres PTF concernés) et le développement de synergies pertinentes, en particulier avec les autres programmes financés par l'Union européenne dans le secteur du développement rural, ainsi que dans la mise en œuvre du devis-programme prévu pour le fonctionnement de l'UCS et les tâches qui lui incombent

R2 : L'avancement dans la mise en œuvre du Programme et l'atteinte des résultats attendus sont régulièrement appréciés pour l'ensemble des composantes, par le biais d'un système de suivi commun / harmonisé entre les opérateurs à partir du cadre logique d'AFAFI-Centre

R3: Les questions transversales sont bien prises en compte dans les activités appuyées pour le programme R4 : Les résultats et l'impact des actions du Programme AFAFI-Centre sont valorisés et diffusés à travers la définition et la mise en œuvre d'un plan de communication et de visibilité  . R4 : Les résultats et l'impact des actions du Programme AFAFI-Centre sont valorisés et diffusés à travers la définition et la mise en œuvre d'un plan de communication et de visibilité. R5 :   Un dispositif d'amélioration continue du Programme est mis en place, et tout dysfonctionnement fait l'objet de mesures correctrices, en particulier dans le cas où les hypothèses qui sous-tendent le programme, ne sont pas vérifiées  . R6 : De l'expertise pour des interventions de courte durée est mobilisée rapidement afin de fournir des appuis techniques spécialisés en lien avec les activités relevant des différentes composantes du Programme.                                                    ",,,,,,,,"https://www.lechodusud.com/post/les-femmes-rurales-bravent-les-obstacles-pour-une-économie-florissante
https://midi-madagasikara.mg/2023/03/09/economie-rurale-forte-participation-des-femmes-malgre-les-obstacles-quotidiens/","420574","../../../../../:f:/g/personal/y_karroum_arkoconsulting_org/Evnm2u024WBAgiKIbc4fe34BiC-DRW55YK57ux_p6oNEYg?e=k85RAA","Madagascar","Mise en oeuvre","Services",,2024-10-25,2020-10-26,"IRAM - Institut de Recherches et d’Applications des Méthodes de développement",,,,,,,,,1377000,1377000," ",,,,,,,,,,,,41602,43040,"Développement rural"," "," ","Analamanga,Itasy,Alaotra-Mangoro","139 communes",,,"Non","Marie-Catherine MABRUT, Directrice Pays - MarieCatherine.Mabrut@welthungerhilfe.de",
"FED",2020,418939,"Accompagnement de la professionnalisation des filières maraîchage, arboriculture et aviculture dans les régions Analamanga et Itasy","AMBIOKA","LEONE ALESSANDRO","ODD n°2 - Faim « Zéro »",,,,,"Améliorer durablement les revenus des ménages ruraux et leur sécurité alimentaire et nutritionnelle, en particulier celles des femmes et des enfants, en préservant l'environnement naturel et péripherie d'Antananarivo","OS1: Intensifier et diversifier de façon durable et inclusive la production des filières maraichage, arboriculture et aviculture

OS2: Promouvoir la commercialisation des produits de norme agroécologique, de qualité et d'hygiène standards, y inclus des produits alimentaires riches en nutriments

OS3: Structurer durablement le secteur rural pour pérenniser son développement ","R1: Les productions agricoles de 5.500 exploitations familiales sont améliorées durablement dans les filières maraichage, arboriculture et aviculture.

R2 : Les 5.500 producteurs améliorent la commercialisation de produits respectueux des normes agroécologiques de bonne pratique sanitaire et nutritionnelle.

R3: Pérennisation d'une offre de service, adaptée aux besoins des agriculteurs dans la région périphérique de la capitale.",,"https://www.youtube.com/watch?v=SsMaKu3fmCc","https://www.fert.fr/echanger-entre-paysans-pour-envisager-lavenir-laction-ambioka-a-madagascar/","https://www.facebook.com/profile.php?id=100069917408998",,,,"https://www.madagascarnewsroom.com/2022/08/madagascar-projet-ambioka-agroecologie.html","422432","../../../../../:f:/g/personal/y_karroum_arkoconsulting_org/Ei5MhUBtifxLpiaM-yWEl7gBxFzy8icWL8lwgVza1JE_kg?e=rVK7AG","Madagascar","Subvention","Subvention pour action",,2024-11-16,2020-11-17,"Fert","Fifata","Cap Malagasy","Ceffel",,,,,,1500000,1700900,"FERT","Fert",200900,,,,,,,,,,41602,31120,"Développement rural"," ","Développement agricole","Analamanga,Itasy,","Ambatolampy, Ambohimanjaka, Ambohitrimanjaka, Ampangabe, Anosiala, Antanetibe, Antehiroka, Fiadanana, Iarinarivo, Ivato firaisana, Mahereza, Mahitsy, Mananjara, Merimandroso, Talatamaty, Alakamisy fenoarivo, Ambavahaditokana, Ambohidrapeto Ampitatafika, Andranonahoatra, Ankadimanga, Bemasoandro, Fenoarivo, Fiombonana, Itasy, Ambohimalaza miray, Ambohimanga rova, Anjeva gara, Ankadikely Ilafy, Anosy avaratra, Fiaferana, Manandriana, Sabotsy namehana, Talata volonondry, Alarobia, Ambanitsena, Ambatomanga, Ambatomena,Ambohitrolomahitsy, Ambohitseheno, Ampaneva, Anjepy, Anjoma Betoho, Nandihizana, Sambaina","Antananarivo Avaradrano;Ambohidratrimo;Antananarivo Atsimondrano;Arivonimamo;Manjakandriana;",,"Oui","mailto:t.rahaingoarivelo@tdh.nl;%20madagascar@tdh.nl;",
"FED",2021,418947,"Appui au marché piscicole d’Analamanga - Phase 2","AMPIANA 2","LEONE ALESSANDRO","ODD n°2 - Faim « Zéro »",,,,,"Améliorer durablement les revenus des ménages ruraux et leur sécurité alimentaire et nutritionnelle, en particulier celles des femmes et des enfants par le renforcement de la rizipisciculture familiale et son inclusion dans la chaine de valeur piscicole continentale ","OS1: Étendre et densifier le réseau d’exploitations agricoles familiales intégrant des pratiques agroécologiques rizipiscicoles dans leur système d’exploitation

OS2: Réunir les conditions durables au développement de la filière par la concertation entre les acteurs de la chaîne de valeur piscicole et le développement de circuits de commercialisation respectueux de la qualité des produits piscicoles","- Les pratiques agroécologiques de production rizipiscicoles sont diffusées à un grand nombre d'exploitations agricoles familiales et le réseau de producteurs et productrices d'alevins s'étend. 

- Des innovations techniques sont développées par un dispositif de recherche-action et leur appropriation par les pisciculteurs permet d'améliorer la productivité rizipiscicole. 

- Un réseau interprofessionnel des acteurs de la filière structure la chaîne de valeur. 

- Des circuits courts de commercialisation des produits piscicoles de qualité sont mis en place. 

- Les Fonds de Développement Agricole (FDA) et les Centres de Services Agricoles (CSA) et les Collectivités Territoriales Décentralisés (CTD) sont en capacité d'évaluer les besoins de la filière piscicole et d'accompagner les porteurs de projets piscicoles.",,"https://youtu.be/2XNp_qYt0Vk",,"https://www.facebook.com/AssociationApdraPisciculturePaysanne?mibextid=ZbWKwL",,,"https://www.linkedin.com/mwlite/company/apdra-pisciculture-paysanne","https://www.dp-spad.org/actualites/demarrage-afafi-centre-ampiana-2","427422","../../../../../:f:/g/personal/y_karroum_arkoconsulting_org/EtH492wnXU9Fp1N7DIdOU9gBgbZ9nF97d1Vu7D0PrSPU7w?e=xNAYp9","Madagascar","Subvention","Subvention pour action",,2025-02-28,2021-01-03,"APDRA Pisciculture Paysanne","CIRAD - Centre de coopération internationale en recherche agronomique pour le développement","FOFIFA - Centre National de la Recherche Appliquée au Développement Rural / Foibem-pirenena momba ny Fikarohana ampiharina amin’ny Fampandrosoana ny eny Ambanivohitra",,,,,,,1000000,1052640,,"AFD - Agence Française de Développement",52640,,,,,,,,,,41602,31120,"Développement rural"," ","Développement agricole","Analamanga,Itasy,"," Ambato, Ambohimanjaka, Ampanotokana, Antanetibe, Mahabo, Mahitsy, Merimandroso, Ambohitromby, Ambolotarakely, Ankazobe, Antotohazo, Fihaonana, Mahavelona, Mangasoavina, Marondry, Miantso, Talata angavo, Ambalavao, Antanetikely, Tsiafahy, Ambohimalaza miray, Ambohimanga rova, Fiaferana, Talata volonondry, Viliahazo, Alarobia, Ambanitsena, Ambatomanga, Ambohitrandriamanitra, Ambohitrolomahitsy, Manjakandriana, Miadanandriana, Nandhizana, Sadabe, sambaina, Alakamisikely, Ambatomirahavavay, Amboanana, Ambohimandry, Ambohimasina, Ambohitrambo, Ampahimanga, Arivonimamo I, Arivonimamo Ii, Imeritsiatosika, Manalalondo, Morafeno, Morarano, Ramboamasoandro Andranomiely","Antananarivo Atsimondrano;Antananarivo Avaradrano;Ambohidratrimo;Ankazobe;Manjakandriana;Arivonimamo;","PCC-418947","Oui","Mme Lydia RAZAFINDRAHONA / Chargée de mission / razafindrahonal@afd.fr
Hery RALIJAONA / ralijaonah@afd.fr
",
